,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
0,JPM220617C00060000,2021-11-10 7:01AM EST,60.0,96.7,99.65,102.2,0.0,-,4,0,104.26%
1,JPM220617C00065000,2021-11-10 7:01AM EST,65.0,101.4,94.1,97.0,0.0,-,407,0,92.87%
2,JPM220617C00070000,2021-11-10 7:01AM EST,70.0,96.7,87.65,92.3,0.0,-,5,0,80.08%
3,JPM220617C00075000,2021-11-10 7:01AM EST,75.0,94.8,83.85,87.0,0.0,-,6,2,78.61%
4,JPM220617C00080000,2021-11-10 7:01AM EST,80.0,87.4,78.7,82.2,0.0,-,150,3,73.00%
5,JPM220617C00085000,2021-11-10 7:01AM EST,85.0,84.93,74.8,77.25,0.0,-,64,64,72.00%
6,JPM220617C00090000,2021-10-22 2:08PM EST,90.0,81.6,0.0,0.0,0.0,-,3,0,0.00%
7,JPM220617C00095000,2021-11-10 7:01AM EST,95.0,75.25,63.85,65.85,0.0,-,10,31,52.75%
8,JPM220617C00100000,2021-12-30 9:38AM EST,100.0,59.93,57.9,59.1,0.0,-,10,363,41.38%
9,JPM220617C00105000,2021-12-21 12:33PM EST,105.0,52.12,52.85,54.15,0.0,-,1,247,38.16%
10,JPM220617C00110000,2021-12-31 3:49PM EST,110.0,48.72,47.9,49.1,-0.01,-0.02%,2,287,34.06%
11,JPM220617C00115000,2021-12-31 10:51AM EST,115.0,43.39,43.1,44.55,-1.11,-2.49%,2,2073,34.18%
12,JPM220617C00120000,2021-12-27 1:37PM EST,120.0,38.73,38.6,39.2,0.0,-,1,313,28.05%
13,JPM220617C00125000,2021-12-22 3:20PM EST,125.0,33.07,33.95,34.5,0.0,-,2,395,26.71%
14,JPM220617C00130000,2021-12-31 12:44PM EST,130.0,29.7,29.5,30.35,-0.6,-1.98%,10,618,27.52%
15,JPM220617C00135000,2021-12-31 11:06AM EST,135.0,25.12,25.2,25.65,-0.88,-3.38%,5,298,24.96%
16,JPM220617C00140000,2021-12-31 2:29PM EST,140.0,21.6,21.15,21.55,-0.02,-0.09%,2,1700,24.19%
17,JPM220617C00145000,2021-12-31 1:01PM EST,145.0,17.66,17.45,17.8,-0.14,-0.79%,50,1949,23.65%
18,JPM220617C00150000,2021-12-31 12:17PM EST,150.0,14.03,14.05,14.5,-0.77,-5.20%,12,4417,23.41%
19,JPM220617C00155000,2021-12-31 3:47PM EST,155.0,11.31,11.05,11.4,-0.12,-1.05%,71,5301,22.73%
20,JPM220617C00160000,2021-12-31 3:33PM EST,160.0,8.75,8.65,8.85,0.05,+0.57%,119,3678,22.42%
21,JPM220617C00165000,2021-12-31 2:25PM EST,165.0,6.7,6.55,6.75,0.1,+1.52%,9,23735,22.22%
22,JPM220617C00170000,2021-12-31 1:55PM EST,170.0,5.0,4.85,5.05,0.0,-,107,5802,22.06%
23,JPM220617C00175000,2021-12-31 3:31PM EST,175.0,3.62,3.35,3.7,-0.03,-0.82%,10,3893,21.91%
24,JPM220617C00180000,2021-12-31 1:32PM EST,180.0,2.61,2.55,2.69,0.01,+0.38%,14,2383,21.89%
25,JPM220617C00185000,2021-12-31 2:55PM EST,185.0,1.85,1.77,1.96,-0.02,-1.07%,1006,4996,22.00%
26,JPM220617C00190000,2021-12-31 3:46PM EST,190.0,1.35,1.26,1.42,-0.01,-0.74%,5,2985,22.13%
27,JPM220617C00195000,2021-12-30 3:41PM EST,195.0,1.0,0.88,1.03,0.0,-,5,2735,22.33%
28,JPM220617C00200000,2021-12-31 11:46AM EST,200.0,0.71,0.64,0.75,-0.04,-5.33%,8,2680,22.55%
29,JPM220617C00210000,2021-12-31 3:12PM EST,210.0,0.39,0.3,0.55,-0.24,-38.10%,72,1006,24.45%
30,JPM220617C00220000,2021-12-30 11:18AM EST,220.0,0.29,0.14,0.38,0.0,-,10,5721,25.78%
31,JPM220617C00230000,2021-12-31 2:20PM EST,230.0,0.18,0.11,0.29,-0.03,-14.29%,1,4284,27.34%
32,JPM220617C00240000,2021-12-02 1:13PM EST,240.0,0.37,0.08,0.24,0.0,-,5,96,29.03%
33,JPM220617C00250000,2021-12-31 11:04AM EST,250.0,0.1,0.03,0.2,-0.07,-41.18%,10,668,30.57%
